PLANE, AIRLINE, COUNT
Boeing 737,Southwest Airlines Co.,80
Bombardier CL-600,Endeavor Air Inc.,75
Boeing 757,Delta Air Lines Inc.,68
Bombardier CL-600,ExpressJet Airlines Inc.,42
Bombardier CL-600,SkyWest Airlines Inc.,37
Boeing 757,United Air Lines Inc.,34
Bombardier CL-600,PSA Airlines Inc.,25
Boeing 757,American Airlines Inc.,21
Boeing 737,Alaska Airlines Inc.,17
Boeing 737,US Airways Inc.,14
Bombardier CL-600,Mesa Airlines Inc.,10
Boeing 737,Delta Air Lines Inc.,4
Boeing 737,United Air Lines Inc.,4
Boeing 737,AirTran Airways Corporation,1
Boeing 757,AirTran Airways Corporation,1
