Airline,IATA,ICAO,Callsign,Founded,Airline
Alaska Airlines,AS,ASA,ALASKA,1932,mainline
Allegiant Air,G4,AAY,ALLEGIANT,1997,mainline
American Airlines,AA,AAL,AMERICAN,1934,mainline
Delta Air Lines,DL,DAL,DELTA,1924,mainline
Frontier Airlines,F9,FFT,FRONTIER FLIGHT,1994,mainline
Hawaiian Airlines,HA,HAL,HAWAIIAN,1929,mainline
JetBlue Airways,B6,JBU,JETBLUE,1998,mainline
Southwest Airlines,WN,SWA,SOUTHWEST,1967,mainline
Spirit Airlines,NK,NKS,SPIRIT WINGS,1980,mainline
Sun Country Airlines,SY,SCX,Sun Country,1982,mainline
United Airlines,UA,UAL,UNITED,1926,mainline
Virgin America,VX,VRD,REDWOOD,2004,mainline
Air Choice One Airlines,3E,WBR,WEBER,1979,Regional
Aero Contractors,,,,1979,Regional
Air Evac,,,,1969,Regional
AirStar Aviation Services,,,AIRSTAR,2004,Regional
Air Sunshine,YI,RSI,AIR SUNSHINE,1982,Regional
Air Wisconsin,ZW,AWI,WISCONSIN,1965,Regional
Alaska Central Express,KO,AER,Ace Air,1996,Regional
Alaska Seaplane Service,J5,,,1997[1],Regional
Ameristar Jet Charter,None,AJI,AMERISTAR,2000,Regional
Atlantic Airlines,EX,BJK,BLACKJACK,1982[2],Regional
Bemidji Airlines,CH,BMJ,BEMIDJI,1946,Regional
Bering Air,8E,BRG,BERING AIR,1979,Regional
Berry Aviation,,BYA,BERRY,1983,Regional
Big Island Air,,BIG,BIG ISLE,1985,Regional
Blue Moon Aviation,,,,2003,Regional
Boutique Air,4B,BTQ,BOUTIQUE,2007,Regional
Branson Air Express,,,,,Regional
Cape Air,9K,KAP,CAIR,1989,Regional
CommutAir,C5,UCA,COMMUTAIR,1989,Regional
Compass Airlines,CP,CPZ,COMPASS ROSE,2006,Regional
Corporate Flight Management,,VTE,VOLUNTEER,1982,Regional
Critical Air Medicine,,,,1984,Regional
Delta Private Jets,,DPJ,JET CARD,1984,Regional
Endeavor Air,9E,FLG,FLAGSHIP,,Regional
Envoy Air,MQ,ENY,ENVOY,1984,Regional
Ravn Alaska,7H,RVN,RAVN,2010,Regional
Everts Air,5V,VTS,EVERTS,1978,Regional
ExpressJet,EV,ASQ,ACEY,1986,Regional
Express One International,EO,LHN,LONGHORN,1983,Regional
Flight Alaska,4Y,TUD,TUNDRA,1955,Regional
Frontier Flying Service,2F,FTA,FRONTIER-AIR,1950,Regional
FS Air Service,4A,EYE,SOCKEYE,1986,Regional
Gem Air,,,,,Regional
GoJet Airlines,G7,GJS,LINDBERGH,2005,Regional
Grand Canyon Airlines,YR,CVU,CANYON VIEW,1927,Regional
Grant Aviation,GV,GUN,HOOT,1971,Regional
